Date,cc_gross,co_gross,oc_gross,oc_net2bp
2019-04-04,1.003635438569642,1.0012426284916913,1.0024048940128938,1.0020048940128938
2019-04-05,1.0034350133286427,0.9988686187779052,1.0045949921136497,1.0037933162185313
2019-04-08,0.9995495049554014,0.9948736324660143,1.0047294129091542,1.003526112418537
2019-04-09,1.0002966737765027,0.995217054130006,1.005154946758566,1.0035497261881652
2019-04-10,0.9958937184381245,0.9920040605737445,1.0039558335702266,1.0019511080789403
2019-04-11,0.9940537611662666,0.9902983386797437,1.003817172930192,1.0014119438768976
2019-04-12,0.9960405269521637,0.9904178428908949,1.005682937491233,1.0028726731340314
2019-04-15,1.0021094798505272,0.9952787808385031,1.0068725171592103,1.0036577795903079
2019-04-16,1.0023466217971675,0.9957215761481314,1.0066705483736007,1.0030549925377972
2019-04-17,1.0036018613447535,0.9950919500957587,1.0085664293782628,1.0045428423031937
2019-04-18,1.0053566320715444,0.9944495864355838,1.01097751828644,1.0065424952472855
2019-04-19,1.0045434732814345,0.9927300333964554,1.011903428585973,1.0070617267041817
2019-04-22,1.000796545958029,0.9921938057002717,1.0086646461726283,1.0034356163545515
2019-04-23,1.001207570279872,0.9935981591285393,1.0076491730399355,1.002024033301087
2019-04-24,1.0038982435763182,0.9927189022366164,1.0112437995706725,1.0051977834362487
2019-04-25,1.0076603893118186,0.9979463298377209,1.0096670594371966,1.0032283911903757
2019-04-26,1.0101360693924601,0.9991314300815788,1.010949761925208,1.0041016225009465
2019-05-07,1.0221328208414895,1.0030753289607908,1.0189820578949302,1.0116778673209992
2019-05-08,1.0220521238275608,0.9984789052000874,1.0235509488495915,1.015809336748109
2019-05-09,1.0226841075488402,0.9957493420899188,1.0269483812051425,1.0187747489407886
2019-05-10,1.0227340256984616,0.996489700029922,1.0262323294081863,1.0176568864051658
2019-05-13,1.0226243262209445,0.9963194539862728,1.0262875658468147,1.0173045985203286
2019-05-14,1.023669834516799,1.0004947932804056,1.0230321429766729,1.013670748121973
2019-05-15,1.022796824079873,1.0032060133430842,1.0194499837828657,1.0097158996641369
2019-05-16,1.0236253028231928,1.0076645648754752,1.0158063059404876,1.0057031266406498
2019-05-17,1.024492125628,1.0112879712723821,1.013001546157189,1.0025239816640614
2019-05-20,1.0266045391426006,1.0112625681429008,1.0150744667108462,1.004174452224619
2019-05-21,1.0292540599439348,1.0130580996572778,1.0159019467218426,1.0045913768562766
2019-05-22,1.031876832230219,1.0151820377545413,1.0163598483828233,1.0046423439068597
