Date,Open,High,Low,Close,Volume
2019-01-04,15778.383258258258,15889.72265625,15730.666373404654,15889.72265625,34
2019-01-07,16422.560461054443,16470.27734375,16422.560461054443,16470.27734375,3
2019-01-08,16470.27734375,16470.27734375,16470.27734375,16470.27734375,0
2019-01-09,16470.27734375,16517.994226445557,16470.27734375,16470.27734375,126
2019-01-10,16263.502847791473,16311.2197265625,16263.502847791473,16311.2197265625,10
2019-01-11,16271.455149061741,16462.322658141646,15921.531382415253,16422.55859375,189
2019-01-15,16645.237969422204,16645.237969422204,16637.28515625,16637.28515625,5
2019-01-16,16637.28515625,16637.28515625,16637.28515625,16637.28515625,0
2019-01-17,16605.475592417064,16780.4375,16605.475592417064,16780.4375,91
2019-01-18,16780.4375,16780.4375,16780.4375,16780.4375,0
2019-01-21,16836.10546875,16836.10546875,16836.10546875,16836.10546875,1
2019-01-22,16836.10546875,16836.10546875,16836.10546875,16836.10546875,0
2019-01-23,16565.710458079633,16716.81391401027,16541.85201766953,16653.19140625,85
2019-01-24,16836.10546875,16836.10546875,16836.10546875,16836.10546875,2
2019-01-25,16836.10546875,16836.10546875,16836.10546875,16836.10546875,0
2019-01-28,16836.10546875,16836.10546875,16836.10546875,16836.10546875,0
2019-01-29,16708.864520858075,16740.67578125,16708.864520858075,16740.67578125,110
2019-01-30,16907.681640625,16907.681640625,16907.681640625,16907.681640625,7
2019-01-31,16907.681640625,16907.681640625,16907.681640625,16907.681640625,0
2019-02-01,16828.153531800333,16828.153531800333,16708.861328125,16708.861328125,21
2019-02-04,16971.303357985136,17042.878676739525,16971.303357985136,16987.208984375,102
2019-02-05,16987.208984375,16987.208984375,16987.208984375,16987.208984375,0
2019-02-06,16947.4453125,16947.4453125,16947.4453125,16947.4453125,11
2019-02-07,16804.296790286142,16804.296790286142,16502.08984375,16502.08984375,53
2019-02-08,16502.08984375,16502.08984375,16502.08984375,16502.08984375,0
2019-02-12,16637.28742012064,16645.240234375,16637.28742012064,16645.240234375,31
2019-02-13,16939.490859155136,16955.396484375,16939.490859155136,16955.396484375,8
2019-02-14,16963.352082215664,16963.352082215664,16677.05078125,16677.05078125,5
2019-02-15,16677.05078125,16677.05078125,16677.05078125,16677.05078125,0
2019-02-18,16677.05078125,16677.05078125,16677.05078125,16677.05078125,0
2019-02-19,17034.928885194004,17170.126733489196,17034.928885194004,17114.45703125,100
2019-02-20,16875.870527626812,17026.973986639492,16875.870527626812,17011.068359375,54
2019-02-21,17058.783203125,17058.783203125,17058.783203125,17058.783203125,1
2019-02-22,17058.783203125,17058.783203125,17058.783203125,17058.783203125,0
2019-02-25,17257.603515625,17257.603515625,17257.603515625,17257.603515625,8
2019-02-26,17257.605300469753,17353.0390625,17257.605300469753,17353.0390625,75
2019-02-27,17353.0390625,17353.0390625,17353.0390625,17353.0390625,0
2019-02-28,17265.55570280068,17297.366952368255,17241.697265625,17241.697265625,9
2019-03-01,17225.794046459672,17353.0390625,17225.794046459672,17353.0390625,17
2019-03-04,17353.0390625,17353.0390625,17353.0390625,17353.0390625,0
2019-03-05,17257.605865689955,17257.605865689955,17217.841796875,17217.841796875,2
2019-03-06,17241.697265625,17241.697265625,17241.697265625,17241.697265625,1
2019-03-07,17241.697265625,17241.697265625,17241.697265625,17241.697265625,0
2019-03-08,16891.776895734598,16971.305035545025,16780.4375,16780.4375,14
2019-03-11,17098.550072176764,17138.31414211206,17098.550072176764,17130.361328125,25
2019-03-12,16955.39874882794,16963.3515625,16955.39874882794,16963.3515625,8
2019-03-13,17050.83203125,17050.83203125,17050.83203125,17050.83203125,11
2019-03-14,17050.83117681499,17050.83117681499,16979.255859375,16979.255859375,13
2019-03-15,16979.255859375,16979.255859375,16979.255859375,16979.255859375,0
2019-03-18,16979.255859375,16979.255859375,16979.255859375,16979.255859375,0
2019-03-19,17154.21937239463,17170.125,17154.21937239463,17170.125,19
2019-03-20,17170.125,17170.125,17170.125,17170.125,0
2019-03-22,17186.028201504898,17257.603515625,17186.028201504898,17257.603515625,33
2019-03-25,17026.9719569944,17026.9719569944,16859.962890625,16859.962890625,64
2019-03-26,17233.74747810783,17368.9453125,17233.74747810783,17368.9453125,159
2019-03-27,17249.653537930884,17249.653537930884,17130.361328125,17130.361328125,6
2019-03-28,17186.03076621489,17273.51171875,17186.03076621489,17273.51171875,13
2019-03-29,17273.51171875,17273.51171875,17273.51171875,17273.51171875,0
2019-04-01,17750.67985641892,17822.255178420608,17655.24609375,17655.24609375,130
2019-04-02,17655.24609375,17655.24609375,17655.24609375,17655.24609375,0
2019-04-03,17535.95530063291,17591.625,17535.95530063291,17591.625,19
2019-04-04,17655.24640505403,17663.19921875,17655.24640505403,17663.19921875,4
2019-04-05,17655.24640505403,17663.19921875,17655.24640505403,17663.19921875,4
2019-04-08,17663.19921875,17663.19921875,17663.19921875,17663.19921875,3
2019-04-09,17201.936308217115,17321.228515625,17201.936308217115,17321.228515625,58
2019-04-10,17170.125,17170.125,17170.125,17170.125,150
