Date,Open,High,Low,Close,Volume
2019-01-04,18174.863271566683,18329.349609375,18174.863271566683,18329.349609375,7
2019-01-07,18329.349609375,18329.349609375,18329.349609375,18329.349609375,0
2019-01-08,18329.349609375,18329.349609375,18329.349609375,18329.349609375,0
2019-01-09,18329.349609375,18329.349609375,18329.349609375,18329.349609375,0
2019-01-10,18329.349609375,18329.349609375,18329.349609375,18329.349609375,0
2019-01-11,18329.349609375,18329.349609375,18329.349609375,18329.349609375,0
2019-01-15,18202.126953125,18202.126953125,18202.126953125,18202.126953125,2
2019-01-16,17893.150390625,17893.150390625,17893.150390625,17893.150390625,1
2019-01-17,17893.150390625,17893.150390625,17893.150390625,17893.150390625,0
2019-01-18,17893.150390625,17893.150390625,17893.150390625,17893.150390625,0
2019-01-21,17893.150390625,17893.150390625,17893.150390625,17893.150390625,0
2019-01-22,17893.150390625,17893.150390625,17893.150390625,17893.150390625,0
2019-01-23,17974.939453125,17974.939453125,17974.939453125,17974.939453125,30
2019-01-24,17974.939453125,17974.939453125,17974.939453125,17974.939453125,0
2019-01-25,18002.201171875,18002.201171875,18002.201171875,18002.201171875,1
2019-01-28,17984.025390625,17984.025390625,17984.025390625,17984.025390625,4
2019-01-29,17984.025390625,17984.025390625,17984.025390625,17984.025390625,0
2019-01-30,17984.025390625,17984.025390625,17984.025390625,17984.025390625,0
2019-01-31,17984.025390625,17984.025390625,17984.025390625,17984.025390625,0
2019-02-01,17984.025390625,17984.025390625,17984.025390625,17984.025390625,0
2019-02-04,18356.61328125,18356.61328125,18356.61328125,18356.61328125,1
2019-02-05,18356.61328125,18356.61328125,18356.61328125,18356.61328125,0
2019-02-06,18356.61328125,18356.61328125,18356.61328125,18356.61328125,0
2019-02-07,18356.61328125,18356.61328125,18356.61328125,18356.61328125,0
2019-02-08,17829.53640296811,17829.53640296811,17738.662109375,17738.662109375,22
2019-02-12,17738.662109375,17738.662109375,17738.662109375,17738.662109375,0
2019-02-13,17738.662109375,17738.662109375,17738.662109375,17738.662109375,0
2019-02-14,18011.291015625,18011.291015625,18011.291015625,18011.291015625,1
2019-02-15,18011.291015625,18011.291015625,18011.291015625,18011.291015625,0
2019-02-18,18447.486328125,18447.486328125,18447.486328125,18447.486328125,10
2019-02-19,18447.486328125,18447.486328125,18447.486328125,18447.486328125,0
2019-02-20,18447.486328125,18447.486328125,18447.486328125,18447.486328125,0
2019-02-21,18447.486328125,18447.486328125,18447.486328125,18447.486328125,0
2019-02-22,18447.486328125,18447.486328125,18447.486328125,18447.486328125,0
2019-02-25,18447.486328125,18447.486328125,18447.486328125,18447.486328125,0
2019-02-26,18592.884765625,18592.884765625,18592.884765625,18592.884765625,1
2019-02-27,18592.884765625,18592.884765625,18592.884765625,18592.884765625,0
2019-02-28,18583.797792882877,18601.97265625,18583.797792882877,18601.97265625,2
2019-03-01,18601.97265625,18601.97265625,18601.97265625,18601.97265625,0
2019-03-04,18601.97265625,18601.97265625,18601.97265625,18601.97265625,0
2019-03-05,18601.97265625,18601.97265625,18601.97265625,18601.97265625,0
2019-03-06,18601.97265625,18601.97265625,18601.97265625,18601.97265625,0
2019-03-07,18601.97265625,18601.97265625,18601.97265625,18601.97265625,0
2019-03-08,18601.97265625,18601.97265625,18601.97265625,18601.97265625,0
2019-03-11,18392.9609375,18392.9609375,18392.9609375,18392.9609375,8
2019-03-12,18392.9609375,18392.9609375,18392.9609375,18392.9609375,0
2019-03-13,18392.9609375,18392.9609375,18392.9609375,18392.9609375,0
2019-03-14,18392.9609375,18392.9609375,18392.9609375,18392.9609375,0
2019-03-15,18392.9609375,18392.9609375,18392.9609375,18392.9609375,0
2019-03-18,18392.9609375,18392.9609375,18392.9609375,18392.9609375,0
2019-03-19,18392.9609375,18392.9609375,18392.9609375,18392.9609375,0
2019-03-20,18392.9609375,18392.9609375,18392.9609375,18392.9609375,0
2019-03-22,18392.9609375,18392.9609375,18392.9609375,18392.9609375,0
2019-03-25,18392.9609375,18392.9609375,18392.9609375,18392.9609375,0
2019-03-26,18392.9609375,18392.9609375,18392.9609375,18392.9609375,0
2019-03-27,17947.67578125,17947.67578125,17947.67578125,17947.67578125,10
2019-03-28,17947.67578125,17947.67578125,17947.67578125,17947.67578125,0
2019-03-29,17947.67578125,17947.67578125,17947.67578125,17947.67578125,0
2019-04-01,18065.8125,18065.8125,18065.8125,18065.8125,1
2019-04-02,18065.8125,18065.8125,18065.8125,18065.8125,0
2019-04-03,18065.8125,18065.8125,18065.8125,18065.8125,0
2019-04-04,18065.8125,18065.8125,18065.8125,18065.8125,0
2019-04-05,18065.8125,18065.8125,18065.8125,18065.8125,0
2019-04-08,17438.78125,17438.78125,17438.78125,17438.78125,11
2019-04-09,17338.821324102963,17475.1328125,17338.821324102963,17475.1328125,5
2019-04-10,17329.729896106022,17356.9921875,17329.729896106022,17356.9921875,6
2019-04-11,17320.642578125,17320.642578125,17320.642578125,17320.642578125,1
2019-04-12,17320.642578125,17320.642578125,17320.642578125,17320.642578125,1
2019-04-15,17320.642578125,17320.642578125,17320.642578125,17320.642578125,0
2019-04-16,17320.642578125,17320.642578125,17320.642578125,17320.642578125,0
2019-04-17,17438.78125,17438.78125,17438.78125,17438.78125,2
